Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
BB3 0GB,53.711161,-2.47872,368500,423966,SD685239,1996-06-01 00:00:00,1997-12-01 00:00:00
BB3 0GD,53.695014,-2.468208,369182,422165,SD691221,1996-12-01 00:00:00,
BB3 0GE,53.711423,-2.478269,368530,423995,SD685239,1997-12-01 00:00:00,1999-06-01 00:00:00
BB3 0GF,53.711423,-2.478269,368530,423995,SD685239,1997-12-01 00:00:00,1999-06-01 00:00:00
BB3 0GG,53.711423,-2.478269,368530,423995,SD685239,1997-12-01 00:00:00,1998-12-01 00:00:00
BB3 0GH,53.711423,-2.478269,368530,423995,SD685239,1997-12-01 00:00:00,2001-01-01 00:00:00
BB3 0GJ,53.695014,-2.468208,369182,422165,SD691221,1998-12-01 00:00:00,2001-09-01 00:00:00
BB3 0GL,53.711423,-2.478269,368530,423995,SD685239,1998-12-01 00:00:00,2000-06-01 00:00:00
BB3 0GN,53.711154,-2.47819,368535,423965,SD685239,1998-12-01 00:00:00,1999-12-01 00:00:00
BB3 0GP,53.695014,-2.468208,369182,422165,SD691221,1998-12-01 00:00:00,2003-04-01 00:00:00
BB3 0GQ,53.695014,-2.468208,369182,422165,SD691221,1999-12-01 00:00:00,
BB3 0GR,53.695014,-2.468208,369182,422165,SD691221,1999-12-01 00:00:00,2001-11-01 00:00:00
BB3 0GS,53.711423,-2.478269,368530,423995,SD685239,1999-12-01 00:00:00,2000-11-01 00:00:00
BB3 0GT,53.711423,-2.478269,368530,423995,SD685239,2000-06-01 00:00:00,2001-05-01 00:00:00
BB3 0GU,53.695014,-2.468208,369182,422165,SD691221,2000-06-01 00:00:00,2003-07-01 00:00:00
BB3 0GW,53.695014,-2.468208,369182,422165,SD691221,2000-06-01 00:00:00,2006-05-01 00:00:00
BB3 0GX,53.697402,-2.469113,369124,422431,SD691224,2008-06-01 00:00:00,
